metric	value
n_samples	244
n_pd	95
n_control	149
donor_group_PD	95
donor_group_PC	90
donor_group_HC	59
burden_min	0.0
burden_median	0.004945
burden_mean	1.887554344262295
burden_max	62.64119
pd_median_burden	0.12483
control_median_burden	0.0
pc_median_burden	0.0
hc_median_burden	0.0
zero_fraction_case_pd	0.35789473684210527
zero_fraction_case_control	0.5503355704697986
zero_fraction_donor_pd	0.35789473684210527
zero_fraction_donor_pc	0.5555555555555556
zero_fraction_donor_hc	0.5423728813559322
n_burden_species	18
