motus_taxon	matched_candidate_taxon	confidence	weight
Cronobacter sakazakii [ref_mOTU_v3_00060]	Cronobacter sakazakii	medium	0.5
Kluyvera intermedia [ref_mOTU_v3_00062]	Kluyvera intermedia	high	1.0
Kosakonia sacchari/oryzae [ref_mOTU_v3_00066]	Kosakonia sacchari	high	1.0
Enterobacter kobei [ref_mOTU_v3_00068]	Enterobacter kobei	high	1.0
Lelliottia amnigena [ref_mOTU_v3_00071]	Lelliottia amnigena	high	1.0
Leclercia adecarboxylata [ref_mOTU_v3_00072]	Leclercia adecarboxylata	high	1.0
Leclercia adecarboxylata [ref_mOTU_v3_00073]	Leclercia adecarboxylata	high	1.0
Enterobacter cloacae [ref_mOTU_v3_00074]	Enterobacter cloacae	high	1.0
Enterobacter asburiae/soli [ref_mOTU_v3_00075]	Enterobacter asburiae	high	1.0
Enterobacter cancerogenus [ref_mOTU_v3_00076]	Enterobacter cancerogenus	high	1.0
Lelliottia amnigena [ref_mOTU_v3_00079]	Lelliottia amnigena	high	1.0
Pluralibacter gergoviae [ref_mOTU_v3_00080]	Pluralibacter gergoviae	medium	0.5
Klebsiella aerogenes [ref_mOTU_v3_00084]	Klebsiella aerogenes	medium	0.5
Klebsiella pneumoniae [ref_mOTU_v3_00085]	Klebsiella pneumoniae	medium	0.5
Klebsiella michiganensis/oxytoca [ref_mOTU_v3_00086]	Klebsiella michiganensis	medium	0.5
Kluyvera ascorbata/georgiana [ref_mOTU_v3_00090]	Kluyvera ascorbata	high	1.0
Kluyvera ascorbata [ref_mOTU_v3_00091]	Kluyvera ascorbata	high	1.0
Kluyvera cryocrescens [ref_mOTU_v3_00092]	Kluyvera cryocrescens	high	1.0
Kluyvera intermedia [ref_mOTU_v3_00093]	Kluyvera intermedia	high	1.0
Escherichia coli [ref_mOTU_v3_00095]	Escherichia coli	high	1.0
Salmonella bongori [ref_mOTU_v3_00098]	Salmonella bongori	high	1.0
Salmonella enterica [ref_mOTU_v3_00099]	Salmonella enterica	high	1.0
Citrobacter rodentium [ref_mOTU_v3_00100]	Citrobacter rodentium	high	1.0
Citrobacter sedlakii [ref_mOTU_v3_00101]	Citrobacter sedlakii	high	1.0
Citrobacter koseri [ref_mOTU_v3_00102]	Citrobacter koseri	high	1.0
Hafnia paralvei/alvei [ref_mOTU_v3_00708]	Hafnia paralvei	high	1.0
Hafnia alvei [ref_mOTU_v3_00709]	Hafnia alvei	high	1.0
Enterobacter ludwigii [ref_mOTU_v3_01644]	Enterobacter ludwigii	high	1.0
Plesiomonas shigelloides [ref_mOTU_v3_04080]	Plesiomonas shigelloides	high	1.0
