Study	PD	n	mean_CCB	median_CCB	mean_log1p_CCB	median_log1p_CCB
Bedarf_2017	HC	28	0.009141209591008868	0.0007125118161756499	0.00880378137658596	0.0007122578590961547
Bedarf_2017	PD	31	0.00420573234392878	0.00023464998044581738	0.004127361830364181	0.00023462245444505527
Boktor_1_2023	HC	67	0.000580796231927	0.0	0.0005796999891202675	0.0
Boktor_1_2023	PD	46	0.0038386255361038003	0.0004280740558255	0.0037800548545183312	0.00042798048527411387
Boktor_2_2023	HC	72	0.013109025844842031	0.0012814581621226249	0.012272933598377066	0.0012806342777674107
Boktor_2_2023	PD	42	0.009057785760475593	0.0016419320911712	0.008811421248432936	0.0016405475688165481
Jo_2022	HC	74	0.013455838286226901	0.0005915188262337	0.012559315030451924	0.0005913439470884613
Jo_2022	PD	82	0.027589174249225395	0.00165706773762725	0.02532727968849423	0.0016556955428314712
Mao_2021	HC	39	0.01817198801994555	0.007220682096576565	0.01760968416996582	0.007194737787152267
Mao_2021	PD	39	0.023691719783920383	0.005224409080584017	0.022855040267529648	0.005210809202449565
Qian_2020	HC	40	0.009250557957843266	0.0013133656399879	0.00894630311451129	0.00131250269799879
Qian_2020	PD	40	0.010119739199997929	0.0006256754932982666	0.009655708047245866	0.0006254797230255214
