clade_name	metaphlan_species_name	metaphlan_species_normalized	metaphlan_binomial_normalized	matched_candidate_taxon	candidate_binomial_normalized	confidence	confidence_weight	matching_method	include_for_primary_burden
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	Escherichia coli	escherichia coli	escherichia coli	Escherichia coli	escherichia coli	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__SGB10068	Escherichia coli	escherichia coli	escherichia coli	Escherichia coli	escherichia coli	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_koseri	Citrobacter koseri	citrobacter koseri	citrobacter koseri	Citrobacter koseri	citrobacter koseri	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_koseri|t__SGB10079	Citrobacter koseri	citrobacter koseri	citrobacter koseri	Citrobacter koseri	citrobacter koseri	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_kobei|t__SGB10133	Enterobacter kobei	enterobacter kobei	enterobacter kobei	Enterobacter kobei	enterobacter kobei	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_huaxiensis	Enterobacter huaxiensis	enterobacter huaxiensis	enterobacter huaxiensis	Enterobacter huaxiensis	enterobacter huaxiensis	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_huaxiensis|t__SGB31166	Enterobacter huaxiensis	enterobacter huaxiensis	enterobacter huaxiensis	Enterobacter huaxiensis	enterobacter huaxiensis	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei	Enterobacter hormaechei	enterobacter hormaechei	enterobacter hormaechei	Enterobacter hormaechei	enterobacter hormaechei	high	1.0	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola|t__SGB10114	Klebsiella variicola	klebsiella variicola	klebsiella variicola	Klebsiella variicola	klebsiella variicola	medium	0.5	binomial_species_match	yes
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_hormaechei|t__SGB10130	Enterobacter hormaechei	enterobacter hormaechei	enterobacter hormaechei	Enterobacter hormaechei	enterobacter hormaechei	high	1.0	binomial_species_match	yes
