nishiwaki_taxon	matched_candidate_taxon	match_level	confidence	weight	n_samples_present	mean_relative_abundance	max_relative_abundance
Atlantibacter hermannii	Atlantibacter hermannii NBRC 105704	binomial_species_match	high	1.0	1	0.005769627532306196	0.005769627532306196
Atlantibacter hermannii	Atlantibacter hermannii NBRC 105704	binomial_species_match	high	1.0	1	0.005769627532306196	0.005769627532306196
Citrobacter braakii	Citrobacter braakii	exact_species_match	medium	0.5	7	0.9057499564687731	4.161858735603588
Citrobacter braakii	Citrobacter braakii	exact_species_match	medium	0.5	7	0.9057499564687731	4.161858735603588
Citrobacter freundii	Citrobacter freundii	exact_species_match	high	1.0	7	0.052656321621057274	0.23691832199828788
Citrobacter freundii	Citrobacter freundii	exact_species_match	high	1.0	7	0.05207999326404552	0.23691832199828788
Citrobacter freundii	Citrobacter freundii	exact_species_match	high	1.0	1	0.004034298499082271	0.004034298499082271
Citrobacter koseri	Citrobacter koseri	exact_species_match	high	1.0	2	0.17413588413104203	0.22084226975625623
Citrobacter koseri	Citrobacter koseri	exact_species_match	high	1.0	2	0.17413588413104203	0.22084226975625623
Citrobacter portucalensis	Citrobacter portucalensis	exact_species_match	high	1.0	8	0.3003806501793491	2.2010830078276085
Citrobacter portucalensis	Citrobacter portucalensis	exact_species_match	high	1.0	8	0.3003806501793491	2.2010830078276085
Enterobacter asburiae	Enterobacter asburiae	exact_species_match	high	1.0	4	0.0993722934315582	0.2607669963276095
Enterobacter asburiae	Enterobacter asburiae	exact_species_match	high	1.0	4	0.0993722934315582	0.2607669963276095
Enterobacter bugandensis	Enterobacter bugandensis	exact_species_match	high	1.0	1	0.005173235305502324	0.005173235305502324
Enterobacter bugandensis	Enterobacter bugandensis	exact_species_match	high	1.0	1	0.005173235305502324	0.005173235305502324
Enterobacter cloacae	Enterobacter cloacae	exact_species_match	high	1.0	2	0.004191953749238716	0.005974791466274945
Enterobacter cloacae	Enterobacter cloacae	exact_species_match	high	1.0	2	0.004191953749238716	0.005974791466274945
Enterobacter hormaechei	Enterobacter hormaechei	exact_species_match	high	1.0	8	0.03784414017091892	0.15733617002373582
Enterobacter hormaechei	Enterobacter hormaechei	exact_species_match	high	1.0	8	0.03784414017091892	0.15733617002373582
Enterobacter kobei	Enterobacter kobei	exact_species_match	high	1.0	4	0.9764029195817668	2.4302577494955138
Enterobacter kobei	Enterobacter kobei	exact_species_match	high	1.0	4	0.9764029195817668	2.4302577494955138
Enterobacter ludwigii	Enterobacter ludwigii	exact_species_match	high	1.0	16	0.1061522856971166	0.5130979957066021
Enterobacter ludwigii	Enterobacter ludwigii	exact_species_match	high	1.0	16	0.1061522856971166	0.5130979957066021
Enterobacter mori	Enterobacter mori	exact_species_match	high	1.0	4	0.19762366933549655	0.5973625343028532
Enterobacter mori	Enterobacter mori	exact_species_match	high	1.0	4	0.19762366933549655	0.5973625343028532
Enterobacter roggenkampii	Enterobacter roggenkampii	exact_species_match	high	1.0	4	0.053344753209841195	0.1540512991438431
Enterobacter roggenkampii	Enterobacter roggenkampii	exact_species_match	high	1.0	4	0.053344753209841195	0.1540512991438431
Escherichia coli	Escherichia coli	exact_species_match	high	1.0	66	1.4074208611518917	36.839237107373904
Escherichia coli	Escherichia coli	exact_species_match	high	1.0	66	1.4074208611518917	36.839237107373904
Escherichia marmotae	Escherichia marmotae	exact_species_match	high	1.0	1	0.0011536571181114924	0.0011536571181114924
Escherichia marmotae	Escherichia marmotae	exact_species_match	high	1.0	1	0.0011536571181114924	0.0011536571181114924
Hafnia paralvei	Hafnia paralvei	exact_species_match	high	1.0	1	0.020628693076447636	0.020628693076447636
Hafnia paralvei	Hafnia paralvei	exact_species_match	high	1.0	1	0.020628693076447636	0.020628693076447636
Klebsiella aerogenes	Klebsiella aerogenes	exact_species_match	medium	0.5	7	0.5184516470774406	2.991448875391356
Klebsiella aerogenes	Klebsiella aerogenes	exact_species_match	medium	0.5	7	0.5184516470774406	2.991448875391356
Klebsiella michiganensis	Klebsiella michiganensis	exact_species_match	medium	0.5	7	0.09543963201766599	0.4371622987398503
Klebsiella michiganensis	Klebsiella michiganensis	exact_species_match	medium	0.5	7	0.09543963201766599	0.4371622987398503
Klebsiella oxytoca	Klebsiella oxytoca	exact_species_match	medium	0.5	6	1.1223779959403108	6.138238025869461
Klebsiella oxytoca	Klebsiella oxytoca	exact_species_match	medium	0.5	6	1.1223779959403108	6.138238025869461
Klebsiella pneumoniae	Klebsiella pneumoniae	exact_species_match	medium	0.5	23	1.766561391558111	26.102090385441702
Klebsiella pneumoniae	Klebsiella pneumoniae	exact_species_match	medium	0.5	23	1.766561391558111	26.102090385441702
Klebsiella quasipneumoniae	Klebsiella quasipneumoniae	exact_species_match	medium	0.5	6	0.6889872609216557	2.9055465682857506
Klebsiella quasipneumoniae	Klebsiella quasipneumoniae	exact_species_match	medium	0.5	6	0.6889872609216557	2.9055465682857506
Klebsiella variicola	Klebsiella variicola	exact_species_match	medium	0.5	15	0.11849827389457154	0.5090909243839661
Klebsiella variicola	Klebsiella variicola	exact_species_match	medium	0.5	15	0.11849827389457154	0.5090909243839661
Kluyvera ascorbata	Kluyvera ascorbata	exact_species_match	high	1.0	2	0.0013239978373635218	0.0016191804130346607
Kluyvera ascorbata	Kluyvera ascorbata	exact_species_match	high	1.0	2	0.0013239978373635218	0.0016191804130346607
Kluyvera cryocrescens	Kluyvera cryocrescens	exact_species_match	high	1.0	1	0.0010461062744939354	0.0010461062744939354
Kluyvera cryocrescens	Kluyvera cryocrescens	exact_species_match	high	1.0	1	0.0010461062744939354	0.0010461062744939354
Kluyvera intermedia	Kluyvera intermedia	exact_species_match	high	1.0	1	0.0003005145850674911	0.0003005145850674911
Kluyvera intermedia	Kluyvera intermedia	exact_species_match	high	1.0	1	0.0003005145850674911	0.0003005145850674911
Leclercia adecarboxylata	Leclercia adecarboxylata	exact_species_match	high	1.0	2	0.015816451288915137	0.01780003485145752
Leclercia adecarboxylata	Leclercia adecarboxylata	exact_species_match	high	1.0	2	0.015816451288915137	0.01780003485145752
Phytobacter diazotrophicus	Phytobacter diazotrophicus	exact_species_match	high	1.0	1	0.11874433203605556	0.11874433203605556
Phytobacter diazotrophicus	Phytobacter diazotrophicus	exact_species_match	high	1.0	1	0.11874433203605556	0.11874433203605556
Plesiomonas shigelloides	Plesiomonas shigelloides	exact_species_match	high	1.0	1	0.012838386939939241	0.012838386939939241
Plesiomonas shigelloides	Plesiomonas shigelloides	exact_species_match	high	1.0	1	0.012838386939939241	0.012838386939939241
