taxon_name	n_curli_reference_sequences	n_csgA	n_csgB	n_csgC	n_csgD	n_csgE	n_csgF	n_csgG	has_reliable_core_markers	has_cautious_markers	curli_candidate_confidence	notes
Escherichia coli	126	18	22	20	16	13	17	20	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica	117	17	14	13	32	13	10	18	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica I	40	3	6	5	4	8	4	10	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter cloacae	35	9	7	9	3	2	2	3	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Citrobacter amalonaticus	26	5	4	3	3	4	3	4	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enterica subsp. arizonae	24	5	7	2	2	3	4	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter asburiae	21	3	4	6	1	5	0	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Citrobacter portucalensis	20	3	5	3	2	4	2	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella typhimurium	17	1	4	1	4	4	1	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Citrobacter freundii	16	3	3	7	0	2	0	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Leclercia adecarboxylata	16	3	3	3	1	2	3	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter hormaechei	15	3	4	3	0	2	0	3	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Kluyvera intermedia	15	0	0	4	5	2	3	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella enteritidis	15	3	1	2	5	1	1	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter kobei	13	1	1	3	2	2	2	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Escherichia coli (strain K12)	13	2	1	1	5	2	1	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Kluyvera ascorbata	13	0	0	2	5	2	2	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Pseudenterobacter timonensis	13	2	2	2	2	2	2	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Shigella flexneri	13	2	3	4	1	1	1	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter cancerogenus	12	2	3	2	1	1	2	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter mori	12	2	1	2	2	1	2	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter bugandensis	11	2	2	2	1	1	1	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter roggenkampii	11	0	2	4	1	2	0	2	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Salmonella diarizonae	11	2	3	0	1	3	1	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Citrobacter werkmanii	10	1	1	2	2	2	2	0	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter ludwigii	10	1	2	2	1	1	2	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Enterobacter wuhouensis	10	2	2	1	1	2	1	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
Lelliottia amnigena	10	2	2	1	1	2	1	1	yes	yes	high	processed-table triage proxy only; not proof of expression or operon integrity
