dataset_id	cohort_role	manual_check_item	status	evidence_needed	blocking_for_phase2d	blocking_for_phase3	notes
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_processed_species_table	candidate_pending_manual_verification	processed species table file or repository link	yes	yes	core table requirement
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_processed_gene_family_table	candidate_pending_manual_verification	processed gene-family table file or repository link	yes	yes	functional requirement
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_processed_pathway_table	candidate_pending_manual_verification	processed pathway table file or repository link	yes	no	pathway support
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_sample_metadata	candidate_pending_manual_verification	sample metadata file with sample IDs	yes	yes	join key requirement
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_pd_control_labels	candidate_pending_manual_verification	explicit PD/control label columns	yes	yes	required for case-control analyses
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_clinical_metadata	candidate_pending_manual_verification	clinical variable table	no	yes	preferred for covariates
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_vagal_body_first_metadata	candidate_pending_manual_verification	constipation/RBD/hyposmia/autonomic fields	no	yes	prodromal relevance
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_run_accession_mapping	candidate_pending_manual_verification	run accession mapping table	yes	yes	required for raw-read subset planning
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_access_restrictions	candidate_pending_manual_verification	license/access terms	yes	yes	compliance gate
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_license_or_reuse_terms	candidate_pending_manual_verification	reuse/license statement	yes	yes	compliance gate
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_sample_count	candidate_pending_manual_verification	countable sample records	yes	no	scope confirmation
PALACIOS_PRODROMAL_PD	prodromal_body_first_candidate	verify_table_normalization_method	candidate_pending_manual_verification	normalization method notes	yes	no	harmonization requirement
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_processed_species_table	candidate_pending_manual_verification	processed species table file or repository link	yes	yes	core table requirement
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_processed_gene_family_table	candidate_pending_manual_verification	processed gene-family table file or repository link	yes	yes	functional requirement
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_processed_pathway_table	candidate_pending_manual_verification	processed pathway table file or repository link	yes	no	pathway support
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_sample_metadata	candidate_pending_manual_verification	sample metadata file with sample IDs	yes	yes	join key requirement
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_pd_control_labels	candidate_pending_manual_verification	explicit PD/control label columns	yes	yes	required for case-control analyses
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_clinical_metadata	candidate_pending_manual_verification	clinical variable table	no	yes	preferred for covariates
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_vagal_body_first_metadata	candidate_pending_manual_verification	constipation/RBD/hyposmia/autonomic fields	no	yes	phenotype enhancement
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_run_accession_mapping	candidate_pending_manual_verification	run accession mapping table	yes	yes	required for raw-read subset planning
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_access_restrictions	candidate_pending_manual_verification	license/access terms	yes	yes	compliance gate
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_license_or_reuse_terms	candidate_pending_manual_verification	reuse/license statement	yes	yes	compliance gate
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_sample_count	candidate_pending_manual_verification	countable sample records	yes	no	scope confirmation
NISHIWAKI_MULTICOUNTRY_PD	multi_country_replication_candidate	verify_table_normalization_method	candidate_pending_manual_verification	normalization method notes	yes	no	harmonization requirement
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_processed_species_table	candidate_pending_manual_verification	processed species table file or repository link	yes	yes	core table requirement
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_processed_gene_family_table	candidate_pending_manual_verification	processed gene-family table file or repository link	yes	yes	functional requirement
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_processed_pathway_table	candidate_pending_manual_verification	processed pathway table file or repository link	yes	no	pathway support
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_sample_metadata	candidate_pending_manual_verification	sample metadata file with sample IDs	yes	yes	join key requirement
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_pd_control_labels	candidate_pending_manual_verification	explicit PD/control label columns	yes	yes	required for case-control analyses
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_clinical_metadata	candidate_pending_manual_verification	clinical variable table	no	yes	preferred for covariates
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_vagal_body_first_metadata	candidate_pending_manual_verification	constipation/RBD/hyposmia/autonomic fields	no	yes	phenotype enhancement
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_run_accession_mapping	candidate_pending_manual_verification	run accession mapping table	yes	yes	required for raw-read subset planning
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_access_restrictions	candidate_pending_manual_verification	license/access terms	yes	yes	compliance gate
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_license_or_reuse_terms	candidate_pending_manual_verification	reuse/license statement	yes	yes	compliance gate
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_sample_count	candidate_pending_manual_verification	countable sample records	yes	no	scope confirmation
MAO_CENTRAL_CHINA_PD	geographic_replication_candidate	verify_table_normalization_method	candidate_pending_manual_verification	normalization method notes	yes	no	harmonization requirement
INTEGRATED_US_MULTICOHORT_PD	independent_us_replication_candidate	verify_processed_species_table	candidate_pending_manual_verification	processed species table file or repository link	yes	yes	core table requirement
INTEGRATED_US_MULTICOHORT_PD	independent_us_replication_candidate	verify_processed_gene_family_table	candidate_pending_manual_verification	processed gene-family table file or repository link	yes	yes	functional requirement
INTEGRATED_US_MULTICOHORT_PD	independent_us_replication_candidate	verify_processed_pathway_table	candidate_pending_manual_verification	processed pathway table file or repository link	yes	no	pathway support
INTEGRATED_US_MULTICOHORT_PD	independent_us_replication_candidate	verify_sample_metadata	candidate_pending_manual_verification	sample metadata file with sample IDs	yes	yes	join key requirement
INTEGRATED_US_MULTICOHORT_PD	independent_us_replication_candidate	verify_pd_control_labels	candidate_pending_manual_verification	explicit PD/control label columns	yes	yes	required for case-control analyses
INTEGRATED_US_MULTICOHORT_PD	independent_us_replication_candidate	verify_clinical_metadata	candidate_pending_manual_verification	clinical variable table	no	yes	preferred for covariates
INTEGRATED_US_MULTICOHORT_PD	independent_us_replication_candidate	verify_vagal_body_first_metadata	candidate_pending_manual_verification	constipation/RBD/hyposmia/autonomic fields	no	yes	phenotype enhancement
