item_id	expected_file_or_resource	resource_type	status	local_expected_path	manual_source_to_check	required_for_phase2d	required_for_phase3	notes
sample_metadata	sample_metadata.tsv	metadata_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/sample_metadata.tsv	pending_manual_verification	yes	yes	core linkage table for all downstream joins
species_abundance	species_abundance.tsv	abundance_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/species_abundance.tsv	pending_manual_verification	yes	no	required for Phase 2D processed-table triage
genus_abundance	genus_abundance.tsv	abundance_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/genus_abundance.tsv	pending_manual_verification	no	no	optional fallback taxonomic resolution
gene_family_abundance	gene_family_abundance.tsv	functional_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/gene_family_abundance.tsv	pending_manual_verification	yes	no	functional proxy before raw-read follow-up
pathway_abundance	pathway_abundance.tsv	functional_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/pathway_abundance.tsv	pending_manual_verification	yes	no	pathway-level context
run_accession_mapping	run_accession_mapping.tsv	mapping_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/run_accession_mapping.tsv	pending_manual_verification	yes	yes	required for later selected raw-read subset selection
clinical_metadata	clinical_metadata.tsv	metadata_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/clinical_metadata.tsv	pending_manual_verification	no	yes	preferred for covariate-aware analysis
raw_accession_metadata	raw_accession_metadata.tsv	mapping_table	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/raw_accession_metadata.tsv	pending_manual_verification	no	yes	required to map runs/samples before any Phase 3 planning
README_or_data_dictionary	README_or_data_dictionary	documentation	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/README_or_data_dictionary.txt	pending_manual_verification	yes	yes	required provenance context
license_or_access_terms	license_or_access_terms	documentation	unknown_pending_manual_check	data/phase2b/processed_tables/wallen_prjna834801/license_or_access_terms.txt	pending_manual_verification	yes	yes	required before any downstream data use
