dataset_id	verification_item	manual_check_status	verified_source_url	verified_file_or_resource_name	evidence_quality	ready_status_after_check	blocking_issue	notes
INTEGRATED_US_MULTICOHORT_PD	publication_page	verified	pending_manual_verification	pending_manual_verification	strong	pending	pending_manual_review	verified via downloaded source materials and D4 local inspection
INTEGRATED_US_MULTICOHORT_PD	supplementary_tables	verified	pending_manual_verification	pending_manual_verification	strong	pending	pending_manual_review	verified via downloaded source materials and D4 local inspection
INTEGRATED_US_MULTICOHORT_PD	data_repository	verified	pending_manual_verification	pending_manual_verification	strong	pending	pending_manual_review	verified via downloaded source materials and D4 local inspection
INTEGRATED_US_MULTICOHORT_PD	species_abundance_table	pending_manual_verification	pending_manual_verification	pending_manual_verification	moderate	pending	pending_manual_review	D7 outputs available and internally validated; kept pending here to preserve scaffold workflow vocabulary
INTEGRATED_US_MULTICOHORT_PD	sample_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	moderate	pending	pending_manual_review	D7 outputs available and internally validated; kept pending here to preserve scaffold workflow vocabulary
INTEGRATED_US_MULTICOHORT_PD	pd_control_labels	pending_manual_verification	pending_manual_verification	pending_manual_verification	moderate	pending	pending_manual_review	D7 outputs available and internally validated; kept pending here to preserve scaffold workflow vocabulary
INTEGRATED_US_MULTICOHORT_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	unavailable	pending	pending_manual_review	corrected dataset ID confirmed; item still unresolved from local metadata and requires manual source verification
INTEGRATED_US_MULTICOHORT_PD	data_dictionary_or_README	verified	pending_manual_verification	pending_manual_verification	strong	pending	pending_manual_review	README/data dictionary verified in standardized package inputs
INTEGRATED_US_MULTICOHORT_PD	license_or_access_terms	verified	pending_manual_verification	pending_manual_verification	strong	pending	pending_manual_review	LICENSE file verified in standardized package inputs
INTEGRATED_US_MULTICOHORT_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	pending_manual_verification	unavailable	pending	pending_manual_review	Not available; processed replication ready but accession mapping unresolved
NISHIWAKI_MULTICOUNTRY_PD	publication_page	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	confirm multi-country cohort source architecture
NISHIWAKI_MULTICOUNTRY_PD	supplementary_tables	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	look for processed abundance and metadata tables
NISHIWAKI_MULTICOUNTRY_PD	data_repository	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	verify repository provenance and access conditions
NISHIWAKI_MULTICOUNTRY_PD	species_abundance_table	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for processed-table replication
NISHIWAKI_MULTICOUNTRY_PD	sample_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for sample-level harmonization
NISHIWAKI_MULTICOUNTRY_PD	pd_control_labels	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for case-control replication
NISHIWAKI_MULTICOUNTRY_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	optional adjusted/exploratory covariates
NISHIWAKI_MULTICOUNTRY_PD	data_dictionary_or_README	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for field interpretation
NISHIWAKI_MULTICOUNTRY_PD	license_or_access_terms	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required before any manual download
NISHIWAKI_MULTICOUNTRY_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required only for future raw-read validation
MAO_CENTRAL_CHINA_PD	publication_page	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	confirm cohort scope and sample definition
MAO_CENTRAL_CHINA_PD	supplementary_tables	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	look for processed abundance and metadata tables
MAO_CENTRAL_CHINA_PD	data_repository	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	verify repository provenance and access conditions
MAO_CENTRAL_CHINA_PD	species_abundance_table	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for processed-table replication
MAO_CENTRAL_CHINA_PD	sample_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for sample-level harmonization
MAO_CENTRAL_CHINA_PD	pd_control_labels	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for case-control replication
MAO_CENTRAL_CHINA_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	optional adjusted/exploratory covariates
MAO_CENTRAL_CHINA_PD	data_dictionary_or_README	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for field interpretation
MAO_CENTRAL_CHINA_PD	license_or_access_terms	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required before any manual download
MAO_CENTRAL_CHINA_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required only for future raw-read validation
PALACIOS_PRODROMAL_PD	publication_page	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	confirm prodromal/constipation context and cohort definition
PALACIOS_PRODROMAL_PD	supplementary_tables	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	look for processed abundance and metadata tables
PALACIOS_PRODROMAL_PD	data_repository	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	verify repository provenance and access conditions
PALACIOS_PRODROMAL_PD	species_abundance_table	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for processed-table replication
PALACIOS_PRODROMAL_PD	sample_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for sample-level harmonization
PALACIOS_PRODROMAL_PD	pd_control_labels	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for case-control replication
PALACIOS_PRODROMAL_PD	clinical_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	optional adjusted/exploratory covariates
PALACIOS_PRODROMAL_PD	data_dictionary_or_README	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required for field interpretation
PALACIOS_PRODROMAL_PD	license_or_access_terms	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required before any manual download
PALACIOS_PRODROMAL_PD	run_accession_mapping	pending_manual_verification	pending_manual_verification	pending_manual_verification	unknown	pending	source_not_checked	required only for future raw-read validation
