dataset_id	expected_file	local_expected_path	required_for_replication_analysis	required_for_raw_read_validation	status	notes
PALACIOS_PRODROMAL_PD	sample_metadata.tsv	data/phase2e/processed_tables/palacios_prodromal_pd/sample_metadata.tsv	yes	yes	unknown_pending_manual_check	required for cohort harmonization
PALACIOS_PRODROMAL_PD	species_abundance.tsv	data/phase2e/processed_tables/palacios_prodromal_pd/species_abundance.tsv	yes	no	unknown_pending_manual_check	primary processed-table replication input
PALACIOS_PRODROMAL_PD	genus_abundance.tsv	data/phase2e/processed_tables/palacios_prodromal_pd/genus_abundance.tsv	no	no	unknown_pending_manual_check	optional secondary ecological context
PALACIOS_PRODROMAL_PD	gene_family_abundance.tsv	data/phase2e/processed_tables/palacios_prodromal_pd/gene_family_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
PALACIOS_PRODROMAL_PD	pathway_abundance.tsv	data/phase2e/processed_tables/palacios_prodromal_pd/pathway_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
PALACIOS_PRODROMAL_PD	clinical_metadata.tsv	data/phase2e/processed_tables/palacios_prodromal_pd/clinical_metadata.tsv	no	no	unknown_pending_manual_check	used for adjusted/exploratory interpretation
PALACIOS_PRODROMAL_PD	run_accession_mapping.tsv	data/phase2e/processed_tables/palacios_prodromal_pd/run_accession_mapping.tsv	no	yes	unknown_pending_manual_check	required before raw-read validation
PALACIOS_PRODROMAL_PD	README_or_data_dictionary	data/phase2e/processed_tables/palacios_prodromal_pd/README_or_data_dictionary.txt	yes	no	unknown_pending_manual_check	required provenance/column interpretation
PALACIOS_PRODROMAL_PD	license_or_access_terms	data/phase2e/processed_tables/palacios_prodromal_pd/license_or_access_terms.txt	yes	yes	unknown_pending_manual_check	required reuse verification
NISHIWAKI_MULTICOUNTRY_PD	sample_metadata.tsv	data/phase2e/processed_tables/nishiwaki_multicountry_pd/sample_metadata.tsv	yes	yes	unknown_pending_manual_check	required for cohort harmonization
NISHIWAKI_MULTICOUNTRY_PD	species_abundance.tsv	data/phase2e/processed_tables/nishiwaki_multicountry_pd/species_abundance.tsv	yes	no	unknown_pending_manual_check	primary processed-table replication input
NISHIWAKI_MULTICOUNTRY_PD	genus_abundance.tsv	data/phase2e/processed_tables/nishiwaki_multicountry_pd/genus_abundance.tsv	no	no	unknown_pending_manual_check	optional secondary ecological context
NISHIWAKI_MULTICOUNTRY_PD	gene_family_abundance.tsv	data/phase2e/processed_tables/nishiwaki_multicountry_pd/gene_family_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
NISHIWAKI_MULTICOUNTRY_PD	pathway_abundance.tsv	data/phase2e/processed_tables/nishiwaki_multicountry_pd/pathway_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
NISHIWAKI_MULTICOUNTRY_PD	clinical_metadata.tsv	data/phase2e/processed_tables/nishiwaki_multicountry_pd/clinical_metadata.tsv	no	no	unknown_pending_manual_check	used for adjusted/exploratory interpretation
NISHIWAKI_MULTICOUNTRY_PD	run_accession_mapping.tsv	data/phase2e/processed_tables/nishiwaki_multicountry_pd/run_accession_mapping.tsv	no	yes	unknown_pending_manual_check	required before raw-read validation
NISHIWAKI_MULTICOUNTRY_PD	README_or_data_dictionary	data/phase2e/processed_tables/nishiwaki_multicountry_pd/README_or_data_dictionary.txt	yes	no	unknown_pending_manual_check	required provenance/column interpretation
NISHIWAKI_MULTICOUNTRY_PD	license_or_access_terms	data/phase2e/processed_tables/nishiwaki_multicountry_pd/license_or_access_terms.txt	yes	yes	unknown_pending_manual_check	required reuse verification
MAO_CENTRAL_CHINA_PD	sample_metadata.tsv	data/phase2e/processed_tables/mao_central_china_pd/sample_metadata.tsv	yes	yes	unknown_pending_manual_check	required for cohort harmonization
MAO_CENTRAL_CHINA_PD	species_abundance.tsv	data/phase2e/processed_tables/mao_central_china_pd/species_abundance.tsv	yes	no	unknown_pending_manual_check	primary processed-table replication input
MAO_CENTRAL_CHINA_PD	genus_abundance.tsv	data/phase2e/processed_tables/mao_central_china_pd/genus_abundance.tsv	no	no	unknown_pending_manual_check	optional secondary ecological context
MAO_CENTRAL_CHINA_PD	gene_family_abundance.tsv	data/phase2e/processed_tables/mao_central_china_pd/gene_family_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
MAO_CENTRAL_CHINA_PD	pathway_abundance.tsv	data/phase2e/processed_tables/mao_central_china_pd/pathway_abundance.tsv	no	no	unknown_pending_manual_check	optional functional context
MAO_CENTRAL_CHINA_PD	clinical_metadata.tsv	data/phase2e/processed_tables/mao_central_china_pd/clinical_metadata.tsv	no	no	unknown_pending_manual_check	used for adjusted/exploratory interpretation
MAO_CENTRAL_CHINA_PD	run_accession_mapping.tsv	data/phase2e/processed_tables/mao_central_china_pd/run_accession_mapping.tsv	no	yes	unknown_pending_manual_check	required before raw-read validation
MAO_CENTRAL_CHINA_PD	README_or_data_dictionary	data/phase2e/processed_tables/mao_central_china_pd/README_or_data_dictionary.txt	yes	no	unknown_pending_manual_check	required provenance/column interpretation
