dataset_id	source_to_check	source_type	manual_check_status	verified_url_or_repository	verified_file_name	license_or_access_terms	notes
PALACIOS_PRODROMAL_PD	publication	publication	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	verify cohort design and processed-table availability claims
PALACIOS_PRODROMAL_PD	supplementary_files	supplementary_material	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	check for species/metadata tables and column dictionaries
PALACIOS_PRODROMAL_PD	repository	record_repository	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	check Zenodo/Figshare/GitHub/OSF if cited
PALACIOS_PRODROMAL_PD	ncbi_metadata	bioproject_or_sra_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	record accession mapping status only; no raw download in Phase 2E-A
PALACIOS_PRODROMAL_PD	data_dictionary	readme_or_dictionary	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	required for harmonized variable interpretation
NISHIWAKI_MULTICOUNTRY_PD	publication	publication	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	verify cohort structure and source cohorts
NISHIWAKI_MULTICOUNTRY_PD	supplementary_files	supplementary_material	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	check processed abundance table availability
NISHIWAKI_MULTICOUNTRY_PD	repository	record_repository	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	check dataset-level availability and provenance
NISHIWAKI_MULTICOUNTRY_PD	ncbi_metadata	bioproject_or_sra_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	track accession mapping availability only
NISHIWAKI_MULTICOUNTRY_PD	data_dictionary	readme_or_dictionary	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	required for variable mapping
MAO_CENTRAL_CHINA_PD	publication	publication	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	verify study scope and availability of processed data
MAO_CENTRAL_CHINA_PD	supplementary_files	supplementary_material	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	check species and metadata files
MAO_CENTRAL_CHINA_PD	repository	record_repository	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	verify access model and licensing
MAO_CENTRAL_CHINA_PD	ncbi_metadata	bioproject_or_sra_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	track mapping availability only
MAO_CENTRAL_CHINA_PD	data_dictionary	readme_or_dictionary	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	required for replication harmonization
INTEGRATED_US_MULTICOHORT_PD	publication	publication	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	verify integrated-cohort composition
INTEGRATED_US_MULTICOHORT_PD	supplementary_files	supplementary_material	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	check processed tables and metadata availability
INTEGRATED_US_MULTICOHORT_PD	repository	record_repository	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	verify provenance and reuse terms
INTEGRATED_US_MULTICOHORT_PD	ncbi_metadata	bioproject_or_sra_metadata	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	track accession mapping only
INTEGRATED_US_MULTICOHORT_PD	data_dictionary	readme_or_dictionary	pending_manual_verification	pending_manual_verification	pending_manual_verification	pending_manual_verification	required to align variable semantics
